"Annual precipitation change"
"Annual surface precipitation change with respect to the baseline climatology (1981-2010), in millimetres per year"
"Category","Netherlands"
"1990-01-01 00:00:00",-60.8573647360493
"1991-01-01 00:00:00",-170.369528283675
"1992-01-01 00:00:00",-14.3433409986065
"1993-01-01 00:00:00",86.0885391980096
"1994-01-01 00:00:00",57.0388184730687
"1995-01-01 00:00:00",-76.5776125210313
"1996-01-01 00:00:00",-210.241284716206
"1997-01-01 00:00:00",-138.666542462814
"1998-01-01 00:00:00",259.081854585272
"1999-01-01 00:00:00",44.3334143501274
"2000-01-01 00:00:00",123.26479416654
"2001-01-01 00:00:00",146.563568471525
"2002-01-01 00:00:00",107.783119363519
"2003-01-01 00:00:00",-198.713462774952
"2004-01-01 00:00:00",29.6062364544233
"2005-01-01 00:00:00",-55.119298254427
"2006-01-01 00:00:00",-24.6118688241665
"2007-01-01 00:00:00",104.916468574068
"2008-01-01 00:00:00",34.7099295054105
"2009-01-01 00:00:00",-45.216934597351
"2010-01-01 00:00:00",-13.916592812229
"2011-01-01 00:00:00",-43.5883883295733
"2012-01-01 00:00:00",115.00580567377
"2013-01-01 00:00:00",-61.8665615629214
"2014-01-01 00:00:00",16.2897414563877
"2015-01-01 00:00:00",5.75051167757826
"2016-01-01 00:00:00",-61.5263031245857
"2017-01-01 00:00:00",38.2068220341208
"2018-01-01 00:00:00",-191.390225240626
"2019-01-01 00:00:00",3.12755337890382
"2020-01-01 00:00:00",-9.00013398900251
"2021-01-01 00:00:00",138.01996797371
"2022-01-01 00:00:00",-35.687806261319
