"Annual temperature change"
"Annual surface temperature change with respect to the baseline climatology (1981-2010), in degrees Celsius, OECD countries"
"Category","OECD - Total"
"1979-01-01 00:00:00",-0.640288601
"1980-01-01 00:00:00",-0.259872423
"1981-01-01 00:00:00",0.426021521
"1982-01-01 00:00:00",-0.891179213
"1983-01-01 00:00:00",-0.399703505
"1984-01-01 00:00:00",-0.591804849
"1985-01-01 00:00:00",-0.666643745
"1986-01-01 00:00:00",-0.523863811
"1987-01-01 00:00:00",-0.013876456
"1988-01-01 00:00:00",0.014189011
"1989-01-01 00:00:00",-0.3858099
"1990-01-01 00:00:00",-0.251728753
"1991-01-01 00:00:00",-0.138173207
"1992-01-01 00:00:00",-0.542392126
"1993-01-01 00:00:00",-0.276404714
"1994-01-01 00:00:00",-0.038802353
"1995-01-01 00:00:00",-0.032744835
"1996-01-01 00:00:00",-0.447356528
"1997-01-01 00:00:00",-0.107825784
"1998-01-01 00:00:00",0.818832484
"1999-01-01 00:00:00",0.209554771
"2000-01-01 00:00:00",0.045495685
"2001-01-01 00:00:00",0.315953588
"2002-01-01 00:00:00",0.196066005
"2003-01-01 00:00:00",0.370857122
"2004-01-01 00:00:00",-0.159778199
"2005-01-01 00:00:00",0.628397301
"2006-01-01 00:00:00",0.943732343
"2007-01-01 00:00:00",0.342033984
"2008-01-01 00:00:00",0.035311345
"2009-01-01 00:00:00",0.215397179
"2010-01-01 00:00:00",0.906245577
"2011-01-01 00:00:00",0.376787345
"2012-01-01 00:00:00",0.608715215
"2013-01-01 00:00:00",0.244624607
"2014-01-01 00:00:00",0.444824634
"2015-01-01 00:00:00",0.736754529
"2016-01-01 00:00:00",1.204932936
"2017-01-01 00:00:00",0.836225813
"2018-01-01 00:00:00",0.507292448
"2019-01-01 00:00:00",0.880145475
"2020-01-01 00:00:00",0.835479201
"2021-01-01 00:00:00",0.845378953
"2022-01-01 00:00:00",0.5843108
